budget;genres;imdb_id;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;vote_average;vote_count
50000000.0;Action;tt0112401;Assassins;Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.;11.065939;6.0;2.0;1995-10-06;30303072.0;132.0;3.0;6.0;394.0
3600000.0;Drama;tt0113627;Leaving Las Vegas;Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.;10.332025;2.0;1.0;1995-10-27;49800000.0;112.0;1.0;7.1;365.0
12000000.0;Comedy;tt0114011;Now and Then;Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.;8.681325;1.0;1.0;1995-10-20;27400000.0;100.0;1.0;6.6;91.0
18000000.0;Fantasy;tt0112682;La Cité des Enfants Perdus;A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.;9.822423;21.0;3.0;1995-05-16;1738611.0;108.0;2.0;7.6;308.0
29500000.0;Science Fiction;tt0114746;Twelve Monkeys;In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.;12.297305;3.0;1.0;1995-12-29;168840000.0;129.0;2.0;7.4;2470.0
30000000.0;Fantasy;tt0112431;Babe;Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.;14.404764;2.0;2.0;1995-07-18;254134910.0;89.0;1.0;6.0;756.0
11000000.0;Drama;tt0112818;Dead Man Walking;A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.;6.891317;3.0;2.0;1995-12-29;39363635.0;122.0;1.0;7.3;350.0
18000000.0;Action;tt0113855;Mortal Kombat;For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.;10.870138;2.0;1.0;1995-08-18;122195920.0;101.0;1.0;5.4;452.0
20000000.0;Fantasy;tt0114681;To Die For;Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.;10.448481;2.0;1.0;1995-05-20;21284514.0;106.0;1.0;6.7;177.0
10000000.0;Drama;tt0113347;How To Make An American Quilt;Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.;4.485958;2.0;1.0;1995-10-06;23574130.0;116.0;1.0;6.5;38.0
33000000.0;Crime;tt0114369;Se7en;"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.";18.45743;3.0;1.0;1995-09-22;327311859.0;127.0;1.0;8.1;5915.0
55000000.0;Adventure;tt0114148;;History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.;13.280069;2.0;1.0;1995-06-14;346079773.0;81.0;1.0;6.7;1509.0
6000000.0;Drama;tt0114814;The Usual Suspects;Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.;16.302466;2.0;1.0;1995-07-19;23341568.0;106.0;4.0;8.1;3334.0
15000000.0;Comedy;tt0113819;Mighty Aphrodite;When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.;15.899134;2.0;1.0;1995-09-13;6700000.0;95.0;1.0;6.7;145.0
3500000.0;Comedy;tt0113118;Friday;Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.;14.56965;1.0;1.0;1995-04-26;28215918.0;91.0;1.0;7.0;513.0
19000000.0;;tt0116367;From Dusk Till Dawn;Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.;15.339153;4.0;1.0;1996-01-19;25836616.0;108.0;2.0;6.9;1644.0
50000000.0;Action;tt0113010;Fair Game;Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her;5.912223;2.0;1.0;1995-11-03;11534477.0;91.0;2.0;4.1;54.0
15000000.0;Comedy;tt0115676;Big Bully;A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.;2.936443;2.0;1.0;1996-01-26;2042530.0;90.0;1.0;3.9;16.0
20000000.0;Horror;tt0114367;Screamers;(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.;12.758848;6.0;3.0;1995-09-08;5781885.0;108.0;1.0;6.1;154.0
8000000.0;Drama;tt0114660;Things to Do in Denver When You're Dead;A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”;4.486179;1.0;1.0;1995-12-01;529766.0;116.0;1.0;6.7;87.0
38000000.0;Action;tt0118158;White Squall;Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.;9.568604;3.0;1.0;1996-02-02;10300000.0;129.0;4.0;6.3;86.0
8169363.0;Crime;tt0113972;Nick of Time;Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.;6.848591;1.0;1.0;1995-11-22;8175346.0;90.0;1.0;6.1;190.0
47000000.0;Drama;tt0117002;Mary Reilly;A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.;12.866139;2.0;1.0;1996-02-23;12379402.0;104.0;1.0;5.7;77.0
14000000.0;Comedy;tt0114825;Vampire in Brooklyn;Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.;9.071127;1.0;1.0;1995-10-26;19800000.0;100.0;1.0;4.5;113.0
50000000.0;Action;tt0115759;Broken Arrow;When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.;14.957626;3.0;1.0;1996-02-09;150270147.0;108.0;1.0;5.7;459.0
7000000.0;Comedy;tt0115734;Bottle Rocket;Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.;6.904831;2.0;1.0;1996-02-21;560069.0;91.0;2.0;6.8;285.0
12000000.0;Comedy;;Happy Gilmore;Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.;9.592265;3.0;1.0;1996-02-16;41205099.0;92.0;1.0;6.5;767.0
24000000.0;Drama;tt0112579;The Bridges of Madison County;Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.;5.951077;3.0;1.0;1995-05-28;182016617.0;135.0;1.0;7.3;397.0
72000000.0;Action;tt0112573;Braveheart;Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.;20.755149;3.0;1.0;1995-05-24;210000000.0;177.0;4.0;7.7;3404.0
1300000.0;Crime;tt0075314;Taxi Driver;A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.;14.092713;3.0;1.0;1976-02-07;28262574.0;114.0;2.0;8.1;2632.0
7500000.0;Crime;tt0113326;紅番區;Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.;12.314278;2.0;1.0;1995-01-30;32392047.0;91.0;2.0;6.5;245.0
25000000.0;Comedy;tt0114536;Steal Big Steal Little;Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler, who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love.;1.522412;1.0;1.0;1995-09-29;6278139.0;113.0;1.0;5.1;7.0
40000000.0;Comedy;tt0103859;Boomerang;Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.;6.506983;1.0;1.0;1992-06-30;70100000.0;117.0;2.0;5.4;139.0
7000000.0;Comedy;tt0116324;Flirting with Disaster;Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).;5.579088;1.0;1.0;1996-03-22;14702438.0;92.0;1.0;6.3;66.0
50000000.0;Action;tt0113451;Jade;Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A. takes charge of the investigation. Through a web of blackmail and prostitution involving the Governor, an old lover of the law man emerges as a prime suspect and he has to deal with his personal feelings as well as the case.;11.418917;1.0;1.0;1995-10-13;9851610.0;95.0;1.0;5.1;45.0
31000000.0;Comedy;tt0115685;The Birdcage;A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's right-wing moralistic parents.;6.49968;1.0;1.0;1996-03-08;185260553.0;117.0;2.0;6.7;303.0
19000000.0;Action;tt0112442;Bad Boys;Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.;9.262184;2.0;1.0;1995-04-07;141407024.0;118.0;1.0;6.5;1729.0
4000000.0;Romance;tt0112427;An Awfully Big Adventure;An Awfully Big Adventure is a 1995 drama film about a theatre company in Liverpool, set in 1947 and based on the 1989 novel of the same name by Beryl Bainbridge.;0.922958;4.0;1.0;1995-07-21;851545.0;113.0;1.0;6.0;11.0
52000000.0;Drama;tt0112384;Apollo 13;The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.;18.761467;2.0;1.0;1995-06-30;355237933.0;140.0;1.0;7.3;1637.0
28000000.0;Adventure;tt0114287;Rob Roy;In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.;10.193549;2.0;2.0;1995-04-13;31596911.0;139.0;1.0;6.5;151.0
100000000.0;Action;tt0112462;Batman Forever;"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.";13.321354;2.0;2.0;1995-06-16;336529144.0;121.0;1.0;5.2;1529.0
;Comedy;tt0112541;Blue in the Face;Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.;11.528147;2.0;1.0;1995-09-15;1275000.0;83.0;1.0;6.8;28.0
11000000.0;Action;tt0109370;Canadian Bacon;Canadian Bacon is the only fictitious film from Director Michael Moore. This comedy is about an American president who decides to go to war to bring the public’s opinion of him up during election time. Canadian Bacon is actor John Candy’s last film.;5.391556;1.0;2.0;1995-06-08;178104.0;91.0;1.0;5.9;57.0
50000000.0;Fantasy;tt0112642;Casper;"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.";12.812539;3.0;1.0;1995-05-26;287928194.0;100.0;1.0;6.0;1045.0
25000000.0;Mystery;tt0112688;Clockers;"Strike is a young city drug pusher under the tutelage of drug-lord Rodney Little.When a night man at a fast-food restaurant is found with four bullets in his body, Strike's older brother turns himself in as the killer. Det. Rocco Klein doesn't buy the story, however, and sets out to find the truth, and it seems that all the fingers point toward Strike &amp; Rodney.";4.558992;2.0;1.0;1995-09-15;13071518.0;128.0;1.0;6.8;69.0
50000000.0;Action;tt0112715;Congo;Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.;7.260574;2.0;1.0;1995-06-09;;109.0;2.0;5.0;214.0
53000000.0;Action;tt0112740;Crimson Tide;On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.;8.657365;2.0;1.0;1995-05-12;157387195.0;116.0;1.0;7.0;508.0
7000000.0;Thriller;tt0112851;Desperado;A gunslinger is embroiled in a war with a local drug runner.;6.950458;2.0;1.0;1995-08-25;25405445.0;104.0;1.0;6.8;898.0
27000000.0;Drama;tt0112857;Devil in a Blue Dress;In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.;4.646132;2.0;1.0;1995-09-15;16140822.0;102.0;1.0;6.3;88.0
90000000.0;Action;tt0112864;Die Hard: With a Vengeance;"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.";15.138855;2.0;1.0;1995-05-19;366101666.0;128.0;3.0;6.9;2094.0
55000000.0;Action;tt0113071;First Knight;The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.;15.178338;2.0;1.0;1995-07-07;127600435.0;134.0;2.0;5.9;319.0
20000000.0;Action;tt0113243;Hackers;Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.;14.810519;2.0;1.0;1995-09-14;7563728.0;107.0;4.0;6.2;406.0
25000000.0;Adventure;tt0113481;Johnny Mnemonic;A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.  In a dystopian 2021, Johnny (Keanu Reeves) is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits - and will kill him if the data is not removed in time - but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.;11.715868;2.0;2.0;1995-05-26;19075720.0;97.0;2.0;5.5;380.0
90000000.0;Science Fiction;tt0113492;Judge Dredd;In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.;8.184815;2.0;1.0;1995-06-30;113493481.0;96.0;1.0;5.4;643.0
1500000.0;Drama;tt0113540;Kids;"A controversial portrayal of teens in New York City which exposes a deeply disturbing world of sex and substance abuse. The film focuses on a sexually reckless, freckle-faced boy named Telly, whose goal is to have sex with as many different girls as he can. When Jenny, a girl who has had sex only once, tests positive for HIV, she knows she contracted the disease from Telly. When Jenny discovers that Telly's idea of ""safe sex"" is to only have sex with virgins, and is continuing to pass the disease onto other unsuspecting girls, Jenny makes it her business to try to stop him.";4.877872;1.0;1.0;1995-07-28;7412216.0;91.0;1.0;6.8;280.0
500000.0;;tt0113677;Living in Oblivion;Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.;10.058329;2.0;1.0;1995-01-20;1148752.0;89.0;1.0;7.2;64.0
6000000.0;Romance;tt0113749;Mallrats;Both dumped by their girlfriends, two best friends seek refuge in the local mall.;8.25547;4.0;1.0;1995-10-20;2122561.0;94.0;1.0;6.8;400.0
15000000.0;Action;tt0113820;Mighty Morphin Power Rangers: The Movie;Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.;7.024227;3.0;2.0;1995-06-30;66000000.0;92.0;1.0;5.2;153.0
22000000.0;Crime;tt0113957;The Net;Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...;13.304342;1.0;1.0;1995-07-28;110627965.0;114.0;2.0;5.6;359.0
150000.0;Comedy;tt0114095;Party Girl;Although Mary has little income, she still finds ways to spend her nights at clubs. After being arrested for throwing an illegal rave, she asks her aunt Judy for bail money. Judy then finds Mary a job at her library so that Mary can repay her. Initially, Mary finds the job as a clerk boring and stifling, and prefers to get to know a street food vendor whom she likes. However, Mary must refocus her life once she loses her job and apartment.;1.165039;1.0;1.0;1995-06-09;472370.0;94.0;1.0;5.8;14.0
50000000.0;Drama;tt0114345;The Scarlet Letter;"Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals.";6.752119;2.0;1.0;1995-10-13;10382407.0;135.0;1.0;5.5;111.0
45000000.0;Drama;tt0114436;Showgirls;A young drifter named Nomi arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become a top showgirl.;17.502375;3.0;2.0;1995-09-22;20350754.0;128.0;1.0;4.9;261.0
7000000.0;Comedy;tt0114478;Smoke;Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.;5.552946;1.0;3.0;1995-06-09;8349430.0;112.0;1.0;7.2;115.0
35000000.0;Science Fiction;tt0114508;Species;In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.;13.492845;1.0;1.0;1995-07-07;113374103.0;108.0;1.0;5.5;457.0
